,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,ichbinsophiescholl,0003,reist,renée,reneesintenis,remppis,remilitarisierung,religiös,rektor,rekrutenausbildung,rekonstruierbar,reizen,reisevorbereitungen,requests,reiseroute,reisepläne,reisenden,reisen,reiselust,reisegefährtin
2,ichbinsophiescholl,0003,reist,renée,reneesintenis,remppis,remilitarisierung,religiös,rektor,rekrutenausbildung,rekonstruierbar,reizen,reisevorbereitungen,requests,reiseroute,reisepläne,reisenden,reisen,reiselust,reisegefährtin
3,ichbinsophiescholl,0003,reist,renée,reneesintenis,remppis,remilitarisierung,religiös,rektor,rekrutenausbildung,rekonstruierbar,reizen,reisevorbereitungen,requests,reiseroute,reisepläne,reisenden,reisen,reiselust,reisegefährtin
4,inge,bett,gute,schwester,große,mirabellenkuchen,verfüttert,harmoniemonster,bibbernd,gekrochen,hübsche,umgekehrt,maus,geschrien,eher,richtiges,beschützerin,häufchen,vernünftig,sag
5,fritz,vaterland,iller,grimassen,offizier,auftauchen,berühren,fremd,untergehen,wärme,einfache,wisst,sehnsucht,spüre,schneiden,wasser,fürs,mitten,ach,ostfront
6,bruder,leuchtturm,große,suse,vera,klarheit,funken,unfassbarer,gewissenhafter,bann,weite,verfallen,brandblasen,gertrud,lippen,sprüht,hanna,vorbild,hans,fängt
7,philosophiestudentin,stecke,landschaft,biologiestudentin,wehen,geöffneten,wind,sophiescholl,fenster,haare,gehts,diegedankensindfrei,studentin,sitzt,schaut,zug,fest,los,endlich,ulm
8,ankommen,aufgeregt,klugen,fassen,freitag,studentin,schönen,erstmal,bruder,los,geschwisterliebe,uni,endlich,gar,wirklich,geht,münchen,hans,ichbinsophiescholl,remppis
9,volkes,cicero,wohl,gesetz,gestochen,textstelle,chaotischem,lex,oberstes,publica,suprema,saluspublicasupremalex,salus,schreibtisch,sorgt,sophiescholl,auge,politik,welt,besonders
10,brezel,biologie,philosophie,unendlichkeitszeichen,brüderchen,antike,erkunde,zahlreicher,ausgelöst,gegenstand,fach,unendlichkeit,gedanklich,semesterstart,assoziationen,studienfächer,vorbereiten,debatten,erstsemester,erklären
11,illustration,mondnacht,versteh,vorletztes,stört,berufsoffizier,magnet,störts,anzieht,gegrinst,gegnerin,skiurlaub,hochalmpass,chemisches,alleininmünchen,ohren,runter,nachdenke,zeilen,irgendwas
12,gericht,damals,mann,hans,nie,angeblicher,rumschlagen,paragraphen,schwierig,halbes,175,fallengelassen,sexueller,hats,paragraph175,zugegeben,verdammten,jünger,angeklagt,thema
